date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:39	207/207	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2016:58:39%20GMT	https://796405.shreejifoodsite.com/robots.txt		(from )
17:58:40	44769/44769	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202024%2016:58:40%20GMT	https://796405.shreejifoodsite.com/	C:/My%20Web%20Sites/shreejifoodnsnacks/796405.shreejifoodsite.com/index.html	(from )
17:58:40	77667/77667	---M--	200	added ('OK')	image/jpeg	etag:%22a6cc616a4041ee4dc255894a02242b73%22	https://r.shreejifoodsite.com/796405/assets/images/photo-1519162808019-7de1683fa-h_m298gq7r.jpg	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/images/photo-1519162808019-7de1683fa-h_m298gq7r.jpg	(from https://796405.shreejifoodsite.com/)
17:58:41	8709/8709	---MCZ	200	added ('OK')	text/css	etag:W/%22f913bb3b156d13516c0ff37b577fc00f%22	https://r.shreejifoodsite.com/796405/assets/web/assets/shreejifood-icons2/shreejifood2.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/web/assets/shreejifood-icons2/shreejifood243f1.css	(from https://796405.shreejifoodsite.com/)
17:58:41	155590/155590	---MCZ	200	added ('OK')	text/css	etag:W/%22466cd60948b2af44e5aa3b76e213785c%22	https://r.shreejifoodsite.com/796405/assets/bootstrap/css/bootstrap.min.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/bootstrap/css/bootstrap.min43f1.css	(from https://796405.shreejifoodsite.com/)
17:58:41	51457/51457	---MCZ	200	added ('OK')	text/css	etag:W/%22e86be8e37fb82ff90609635fe463480a%22	https://r.shreejifoodsite.com/796405/assets/bootstrap/css/bootstrap-grid.min.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/bootstrap/css/bootstrap-grid.min43f1.css	(from https://796405.shreejifoodsite.com/)
17:58:41	4623/4623	---MCZ	200	added ('OK')	text/css	etag:W/%22a5751a065a1c7de997f17a0f903ee683%22	https://r.shreejifoodsite.com/796405/assets/bootstrap/css/bootstrap-reboot.min.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/bootstrap/css/bootstrap-reboot.min43f1.css	(from https://796405.shreejifoodsite.com/)
17:58:41	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%22b80225d900588f8298b80d0a248eb1ea%22	https://r.shreejifoodsite.com/796405/assets/parallax/jarallax.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/parallax/jarallax43f1.css	(from https://796405.shreejifoodsite.com/)
17:58:42	7945/7945	---MCZ	200	added ('OK')	text/css	etag:W/%2255bf276f73ef7c88f98c8a79e9a42488%22	https://r.shreejifoodsite.com/796405/assets/dropdown/css/style.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/dropdown/css/style43f1.css	(from https://796405.shreejifoodsite.com/)
17:58:42	16463/16463	---MCZ	200	added ('OK')	text/css	etag:W/%221de5025d951167f55bd7eec0480d3562%22	https://r.shreejifoodsite.com/796405/assets/socicon/css/styles.css?rnd=1728924138346	C:/My%20Web%20Sites/shreejifoodnsnacks/r.shreejifoodsite.com/796405/assets/socicon/css/styles43f1.css	(from https://796405.shreejifoodsite.com/)
